Date,Open,High,Low,Close,Adj Close,Volume
2022-03-07,36.139999,36.500000,30.870001,31.200001,31.200001,45172400
2022-03-08,31.799999,34.240002,30.540001,32.240002,32.240002,34172800
2022-03-09,34.439999,36.459999,34.279999,34.900002,34.900002,34309000
2022-03-10,33.700001,35.759998,33.049999,35.200001,35.200001,18456400
2022-03-11,35.939999,36.139999,34.669998,34.869999,34.869999,15575900
2022-03-14,34.869999,36.430000,34.250000,35.020000,35.020000,16023200
2022-03-15,37.259998,38.779999,37.000000,38.240002,38.240002,23183200
2022-03-16,39.070000,41.230000,38.970001,41.189999,41.189999,22511200
2022-03-17,39.869999,41.419998,39.450001,41.419998,41.419998,17002100
2022-03-18,40.970001,42.389999,40.599998,42.349998,42.349998,15842600
2022-03-21,41.619999,41.709999,40.459999,40.849998,40.849998,14758100
2022-03-22,41.250000,42.720001,41.169998,42.200001,42.200001,13179200
2022-03-23,41.759998,42.110001,41.340000,41.529999,41.529999,9409900
2022-03-24,41.759998,42.860001,41.029999,42.779999,42.779999,11308400
2022-03-25,42.680000,43.950001,42.619999,43.180000,43.180000,12831200
2022-03-28,43.650002,43.910000,42.590000,43.860001,43.860001,12507800
2022-03-29,45.369999,46.279999,44.840000,45.669998,45.669998,15886500
2022-03-30,45.189999,46.119999,44.939999,45.860001,45.860001,9884300
2022-03-31,46.130001,46.860001,45.619999,46.360001,46.360001,11832100
2022-04-01,46.509998,46.799999,45.570000,45.779999,45.779999,9763200
2022-04-04,45.430000,46.009998,44.330002,45.529999,45.529999,8870800
2022-04-05,45.689999,46.040001,44.080002,44.709999,44.709999,12020400
2022-04-06,43.259998,43.700001,41.459999,43.070000,43.070000,15403100
2022-04-07,42.830002,42.860001,41.080002,42.400002,42.400002,11385900
2022-04-08,42.270000,42.770000,41.599998,41.959999,41.959999,9123000
2022-04-11,41.220001,43.459999,41.209999,42.419998,42.419998,10624300
2022-04-12,42.570000,43.320000,41.790001,42.730000,42.730000,9933300
2022-04-13,44.709999,45.380001,44.009998,45.139999,45.139999,16966600
2022-04-14,45.490002,46.509998,45.040001,45.130001,45.130001,12300900
2022-04-18,44.180000,44.959999,43.459999,43.970001,43.970001,12677400
